Johnson & Johnson Medical GmbH	Robert Koch Strasse 1, D 22851 Norderstedt, Germany	QSD5057		DE	英商壯生和壯生(香港)股份有限公司台灣分公司	Y	2015-12-03	
C.R. Bard Inc., Productos Para EL Cuidado De La Salud	Carretera Internacional KM 6.5, Terrazas Del Cid, Nogales, Mexico 84000	QSD7745		MX	巴德股份有限公司	Y	2016-12-23	
PT. NSS Indonesia	Blok A-2 No.29 ST4A, Kawasan Berikat Besland Pertiwi, Kota Bukit Indah, Purwakarta 41181 Indonesia	QSD1536		ID	日商泰爾茂有限公司台北分公司	Y	2017-03-23	
Productos Para EL Cuidado De La Salud	Carretera Internacional KM 6.5, Terrazas Del Cid, Nogales, Sonora, Mexico 84000	QSD7745		MX	巴德股份有限公司	Y	2016-12-23	
3M U.K. PLC	Heighington Lane, Aycliffe, County Durham, DL5 6AF, United Kingdom	QSD1283	Medical Apparel(Non-Sterile)	GB	台灣明尼蘇達礦業製造股份有限公司	Y	2016-12-17	
Becton, Dickinson & CO., (BD)	1575 Airport Rd Sumter, SC 29153 U.S.A.	QSD1287	Disposable Blood Collection Needle	US	美商必帝股份有限公司台灣分公司	Y	2016-08-30	
Becton, Dickinson & CO., (BD)	1575 Airport Rd Sumter, SC 29153 U.S.A.	QSD1287	Blood Collection Tubes	US	美商必帝股份有限公司台灣分公司	Y	2016-08-30	
Becton, Dickinson & CO., (BD)	1575 Airport Rd Sumter, SC 29153 U.S.A.	QSD1287	Holder for Blood Collection Tubes	US	美商必帝股份有限公司台灣分公司	Y	2016-08-30	
Becton, Dickinson & CO., (BD)	1575 Airport Rd Sumter, SC 29153 U.S.A.	QSD1287	Luer Adapter (single sample & multiple sample)等4項。	US	美商必帝股份有限公司台灣分公司	Y	2016-08-30	
DENTSPLY-SANKIN K.K. Nasu Factory	1382-11, Shimoishigami, Otawara City, Tochigi, 324-0036, Japan	QSD1299	Impression Material	JP	美商登士派股份有限公司台灣分公司	Y	2016-09-03	
DENTSPLY-SANKIN K.K. Nasu Factory	1382-11, Shimoishigami, Otawara City, Tochigi, 324-0036, Japan	QSD1299	Tooth Shade Resin Material	JP	美商登士派股份有限公司台灣分公司	Y	2016-09-03	
