id,title,description,url,class,provider,columns,frequency,updated,contact,contact_phone
1,基因改造食品原料資料集,由專家學者組成基因改造食品審查小組，對基因改造食品原料逐案嚴格審查。藉由本資料集可查詢審核通過之基因改造食品原料。,http://data.fda.gov.tw/frontsite/data/DataAction.do?method=doDetail&infoId=1,食品,食品組,國際統一編號、產品類型、種類、品名、轉殖品系、申請者、核准日期、有效期限,不定期,2014/12/12,吳小姐,02-2787-7335
2,基因改造食品原料英文資料集,"由專家學者組成基因改造食品審查小組，對基因改造食品原料逐案嚴格審查。藉由本資料集可查詢審核通過之基因改造食品原料(英文版)。 Current Approvals of Genetically Modified foods in Taiwan。",http://data.fda.gov.tw/frontsite/data/DataAction.do?method=doDetail&infoId=2,食品,食品組,UNIQUE_IDENTIFIER、PRODUCT_TYPE、PRODUCT、NAME、EVENT、APPLICANT、DATE_OF_EXPIRATION、DATE_OF_APPROVAL,不定期,2014/12/13,吳小姐,02-2787-7335
3,食品添加物許可證資料集,藉由本資料集可查詢經衛生福利部查驗登記核可之產品資料。,http://data.fda.gov.tw/frontsite/data/DataAction.do?method=doDetail&infoId=3,食品,食品組,許可證字號、中文品名、英文品名、有效日期、申請商名稱、發證日期、申請商電話、劑型、用途、簽審文件、製造廠國別、成分、申請商地址、包裝量及單位,不定期,2014/12/12,高先生,02-2787-7339
4,可供食品使用原料彙整一覽表,審核通過之可供食品使用原料彙整一覽表資料集，該一覽表係彙整經評估食用安全性之非傳統供食原料而成，以提供衛生單位管理及食品製售業者對產品自主管理之參考。,http://data.fda.gov.tw/frontsite/data/DataAction.do?method=doDetail&infoId=4,食品,食品組,類別、中文名稱、外文名稱、學名、部位、備註、檔案下載、類別說明,不定期,2014/12/16,李先生,2787-7378
5,違規食品標示資料集,各縣市衛生局就違法食品開立處分書，本資料集是針對違規食品標示相關行政裁處書，開放查詢違規產品、負責人或廠商名稱等相關資訊。,http://data.fda.gov.tw/frontsite/data/DataAction.do?method=doDetail&infoId=5,食品,食品組,違規食品名稱、違規廠商或行為人名稱、縣市別、違規內容簡述、查獲地點、行政處分書日期、行政處分書字號、違反條文、處分情形,不定期,2014/09/18,謝小姐,02-2787-7306
6,中華民國廚師證書資料集,廚師證書及廚師相關資料資料集，為換發廚師證書，本資料集有當事人之工作地址、技術士證(中餐、西餐；乙級、丙級)。,http://data.fda.gov.tw/frontsite/data/DataAction.do?method=doDetail&infoId=6,食品,食品組,工作地址、發證日期起、發證日期迄、職類等級、任職單位,不定期,2014/11/24,許先生,02-2787-7367
7,優良廚師資料集,衛生福利部食品藥物管理署為宣導持證廚師再教育並表揚我國優秀餐飲從業廚師，特設立此「TFDA優良廚師」表揚活動。,http://data.fda.gov.tw/frontsite/data/DataAction.do?method=doDetail&infoId=7,食品,食品組,年度、季別、優良事蹟、公告日期、編號、姓名,不定期,2014/06/16,許先生,02-2787-7367
8,衛生講習課程資料集,各公工會及教育機關辦理廚證衛生講習課程資料集，提供我國衛生講習課程開課及報名相關資訊。,http://data.fda.gov.tw/frontsite/data/DataAction.do?method=doDetail&infoId=8,食品,食品組,講習類別、講習開始日期、講習結束日期、講習時數、參加對象、招收人數、講習縣市、報名方式、講習地點、報名類別、報名開始日期、報名結束日期、報名地點、承辦單位、承辦人、連絡電話、承辦人Email、核備單位、核備文號、核備日期、備註說明、會員講習費用、非會員講習費用、課程名稱、時數、講師姓名、上課時間,不定期,2014/12/17,許先生,02-2787-7367
9,HACCP課程資料集,各公工會及教育機關辦理HACCP課程資料集，提供我國HACCP課程開課及報名相關資訊。,http://data.fda.gov.tw/frontsite/data/DataAction.do?method=doDetail&infoId=9,食品,食品組,講習類別、講習開始日期、講習結束日期、講習時數、參加對象、招收人數、講習縣市、報名方式、講習地點、報名類別、報名開始日期、報名結束日期、報名地點、承辦單位、承辦人、連絡電話、承辦人Email、核備單位、核備文號、核備日期、備註說明、會員講習費用、非會員講習費用、課程名稱、時數、講師姓名、上課時間,不定期,2014/12/17,許先生,02-2787-7367
10,餐飲業優良業者名單資料集,本署為鼓勵符合「食品良好衛生規範（GHP）」之優良餐飲業，繼續維持GHP規範、做好衛生自我管理，以提升餐飲衛生安全，並提供消費者選擇參考，自99年起實施餐飲衛生分級評核制度，由各地方衛生人員、專家學者組成評核小組，對餐飲業者之作業場所、設施及品保制度之管理進行評核。,http://data.fda.gov.tw/frontsite/data/DataAction.do?method=doDetail&infoId=10,食品,食品組,年度、餐飲業別、業者名稱、營業地址、等級,不定期,2014/10/03,林小姐,02-2787-7362
11,嬰兒配方食品及較大嬰兒配方輔助食品資料集,審核通過之嬰兒配方食品及較大嬰兒配方輔助食品資料集，讓民眾查詢衛生福利部查驗登記許可之嬰兒奶粉清單。,http://data.fda.gov.tw/frontsite/data/DataAction.do?method=doDetail&infoId=11,食品,食品組,類別、產地、公司名稱、中文名稱、英文名稱、同一配方品牌、核准日期、有效日期、申請商電話、申請商名稱、申請商地址、劑型_包裝量_含量單位、成分名稱,不定期,2014/12/16,吳小姐,02-2787-7372
12,動物用藥殘留標準資料集,正面表列規定動物用藥殘留標準，該標準係依據科學證據，風險評估原則及配合前端農政機關之核准用藥情形所訂定，以作為行政裁量之管制標準，提供各界查閱遵循。,http://data.fda.gov.tw/frontsite/data/DataAction.do?method=doDetail&infoId=12,食品,食品組,學名、中文名稱、殘留部位、動物種類、殘留容許量ppm,不定期,2014/06/13,許小姐,02-2787-7313
13,農藥殘留容許量標準_農藥殘留容許量標準,正面表列規定農藥殘留容許量標準。,http://data.fda.gov.tw/frontsite/data/DataAction.do?method=doDetail&infoId=13,食品,食品組,國際普通名稱、普通名稱、作物類別、容許量ppm、備註,不定期,2014/08/12,汪小姐,02-2787-7314
14,農藥殘留容許量標準_得免訂定容許量之農藥一覽表,正面表列得免訂定容許量之農藥。,http://data.fda.gov.tw/frontsite/data/DataAction.do?method=doDetail&infoId=14,食品,食品組,農藥名稱、英文名稱,不定期,2014/06/20,汪小姐,02-2787-7314
15,農藥殘留容許量標準_公告禁用農藥一覽表,正面表列規定公告禁用農藥。,http://data.fda.gov.tw/frontsite/data/DataAction.do?method=doDetail&infoId=15,食品,食品組,農藥名稱、英文名稱、禁止製造或輸入日期、禁止銷售或使用日期,不定期,2014/06/13,汪小姐,02-2787-7314
16,農藥殘留容許量標準_農作物類農產品之分類表,表列適用於農藥殘留容許量標準之農作物類農產品之分類表。,http://data.fda.gov.tw/frontsite/data/DataAction.do?method=doDetail&infoId=16,食品,食品組,類別、農作物類農產品,不定期,2014/06/13,汪小姐,02-2787-7314
17,餐飲業食品安全管制系統衛生評鑑證明廠商資料集,審核通過之餐飲業食品安全管制系統衛生評鑑證明廠商資料集，餐飲業食品安全管制系統衛生評鑑，係為積極與有效推動餐飲業符合「食品安全管制系統」，以提昇餐飲衛生安全，特建立本評鑑。,http://data.fda.gov.tw/frontsite/data/DataAction.do?method=doDetail&infoId=17,食品,食品組,證書編號、縣市別、類別、廠商名稱、負責人、地址、電話、證書狀況、證書有效期限、最大安全生產量、食品衛生管理專責人員、管制小組成員、承包商名稱、承包商負責人、承包商地址、承包商電話、備註,不定期,2014/11/19,許先生,02-2787-7367
18,食品添加物業者及產品登錄資料集,藉由本資料集可查詢於食品業者登錄平台完成登錄之食品添加物業者及產品資訊。,http://data.fda.gov.tw/frontsite/data/DataAction.do?method=doDetail&infoId=18,食品,食品組,食品業者登錄字號、食品添加物產品登錄碼、公司或商業登記名稱、公司或商業登記地址、公司統一編號、公司型態、中文商品名稱、英文商品名稱、分類、型態,不定期,2014/12/11,高先生,02-2787-7339
19,健康食品資料集,健康食品是一個法律名稱(『健康食品管理法』)，需經過FDA審查核可後，才可稱為健康食品，由業者主動申請後取得許可證後，才可上市銷售。,http://data.fda.gov.tw/frontsite/data/DataAction.do?method=doDetail&infoId=19,食品,食品組,許可證字號、類別、中文品名、核可日期、申請商、證況、保健功效相關成分、保健功效、保健功效宣稱、警語、注意事項。,不定期,2014/12/17,江先生,02-2787-7332
20,食品營養成分資料集,食品營養成分資料集主要開放的對象為：民眾、營養師、業者…等，可參考此資料集的資料，計算產品外包裝的營養成分含量，或作為飲食指南參考。,http://data.fda.gov.tw/frontsite/data/DataAction.do?method=doDetail&infoId=20,食品,食品組,食品分類、資料類別、整合編號、樣品名稱、俗名、樣品英文名稱、內容物描述、廢棄率、分析項分類、分析項、含量單位、每100克含量、樣本數、標準差、每單位含量、每單位重、每單位重含量。,不定期,2014/07/14,王先生,02-2787-7396
21,市售食品調查蔬果農藥殘留資料集,抽驗市售蔬果農藥殘留公布不合格資料。,http://data.fda.gov.tw/frontsite/data/DataAction.do?method=doDetail&infoId=21,食品,北區管理中心,民國年度、月份、檢體名稱、不符合使用的農藥殘留、農藥殘留量超標ppm、抽樣衛生局、抽樣地點名稱、詳細地址、後續辦理情形。,不定期,2014/11/05,周先生,02-2787-7828
22,違規食品廣告資料集,本資料集匯整由各縣市衛生局行文副知本署之食品違規廣告處分紀錄，可顯示欄位以來文登載者為限，惟本資料集可能因後續修正裁量而有所變動，亦不代表處分主體之產品為違法，請審慎採參。,http://data.fda.gov.tw/frontsite/data/DataAction.do?method=doDetail&infoId=22,食品,企劃及科技管理組,處分縣市、處分字號、處分日期、處分條文、罰款、產品、來源分類。,不定期,2014/12/01,陳先生,02-2787-7248
23,輸入錠狀膠囊狀食品查驗登記資料集,藉由本資料集可查詢經衛生福利部查驗登記核備之輸入膠囊錠狀食品相關資訊。,http://data.fda.gov.tw/frontsite/data/DataAction.do?method=doDetail&infoId=23,食品,食品組,核備函字號、中文品名、英文品名、有效日期、發證日期、申請商名稱、申請商電話、申請商地址、成分、簽審文件編號,每天,2014/12/17,朱小姐,02-2787-7336
